S,T,M,F,W,TM,CO,C
"0,00000002",23000000,"1375,902847",1042000000,"0,000000069",52,50,Good
"0,000000006",20000000,"1356,687857",1085000000,"0,000000015",154,98,Good
"0,000000001",33000000,"1474,560455",1221000000,"0,000000064",116,57,Good
"0,000000009",35000000,"1410,299139",1295000000,"0,000000037",-6,80,Good
"0,000000008",26000000,"1245,771203",1521000000,"0,000000022",81,23,Good
"0,000000017",35000000,"1347,745405",2469000000,"0,000000048",-7,43,Good
"0,000000007",25000000,"1128,488945",1333000000,"0,000000031",210,94,Good
"0,000000005",21000000,"1195,095113",1272000000,"0,000000064",122,71,Good
"0,000000013",30000000,"1488,348874",1833000000,"0,000000013",66,8,Good
"0,000000013",20000000,"1247,89054",2226000000,"0,000000006",15,79,Good
"0,000000011",33000000,"1252,006664",1176000000,"0,000000071",7,58,Good
"0,000000014",20000000,"1283,305533",1798000000,"0,00000009",187,93,Good
"0,000000003",31000000,"1122,870266",1421000000,"0,000000077",145,4,Good
"0,000000001",25000000,"1105,440289",1406000000,"0,000000046",107,11,Good
"0,00000002",34000000,"1404,24348",1465000000,"0,00000008",185,46,Good
"0,000000006",40000000,"1014,963063",1188000000,"0,000000098",120,99,Good
"0,000000003",36000000,"1253,28105",2343000000,"0,000000089",-1,59,Good
"0,000000016",26000000,"1313,200109",2490000000,"0,000000013",143,73,Good
"0,00000002",39000000,"1037,102864",1859000000,"0,000000036",254,49,Good
"0,00000001",35000000,"1232,394306",1171000000,"0,000000031",10,84,Good
"0,000000018",30000000,"1474,700455",1747000000,"0,000000033",104,72,Good
"0,000000018",25000000,"1423,996744",2125000000,"0,000000089",18,59,Good
"0,000000019",40000000,"1233,972972",1332000000,"0,000000047",5,17,Good
"0,000000009",39000000,"1039,14079",1092000000,"0,000000066",103,3,Good
"0,000000018",20000000,"1241,748339",1043000000,"0,000000046",15,2,Good
"0,000000003",21000000,"1336,298145",1043000000,"0,000000068",202,19,Good
"0,000000015",34000000,"1230,683884",1339000000,"0,000000027",29,69,Good
"0,000000005",23000000,"1244,770688",1911000000,"0,000000079",126,49,Good
"0,000000009",32000000,"1135,520173",2275000000,"0,000000049",71,21,Good
"0,000000017",31000000,"1376,18101",2403000000,"0,000000046",266,24,Good
"0,000000003",32000000,"1202,612995",1605000000,"0,000000053",76,89,Good
"0,000000006",25000000,"1094,351391",1992000000,"0,000000095",129,3,Good
"0,000000013",20000000,"1251,637136",2114000000,"0,000000015",113,25,Good
"0,000000018",25000000,"1044,581922",1371000000,"0,000000052",24,69,Good
"0,000000014",27000000,"1032,797392",1603000000,"0,000000029",157,85,Good
"0,000000019",34000000,"1381,841228",2088000000,"0,00000004",261,95,Good
"0,000000016",20000000,"1233,068255",2456000000,"0,000000011",239,37,Good
"0,000000005",29000000,"1082,069135",2298000000,"0,000000051",-3,68,Good
"0,000000011",37000000,"1272,494475",1421000000,"0,000000064",275,32,Good
"0,000000013",30000000,"1437,772239",1353000000,"0,000000085",148,41,Good
"0,000000018",27000000,"1288,316033",2056000000,"0,000000018",186,79,Good
"0,000000016",20000000,"1027,297693",1675000000,"0,000000057",-1,57,Good
"0,000000018",38000000,"1267,838715",1066000000,"0,000000078",255,66,Good
"0,000000006",28000000,"1263,333749",2498000000,"0,00000005",195,65,Good
"0,00000002",37000000,"1368,076518",2326000000,"0,000000024",51,28,Good
"0,000000018",38000000,"1109,861422",2492000000,"0,000000045",250,48,Good
"0,000000003",23000000,"1454,074751",1926000000,"0,000000034",210,88,Good
"0,000000015",39000000,"1255,330271",1971000000,"0,000000089",280,23,Good
"0,000000019",39000000,"1021,629346",1470000000,"0,000000058",135,19,Good
"0,000000018",39000000,"1123,430992",1280000000,"0,00000002",172,88,Good
"0,000000007",32000000,"1112,303963",1624000000,"0,000000072",290,34,Good
"0,000000011",36000000,"1029,475043",2180000000,"0,000000089",287,23,Good
"0,000000018",20000000,"1317,98268",1894000000,"0,000000014",62,96,Good
"0,000000003",33000000,"1370,868192",2401000000,"0,000000012",181,67,Good
"0,000000013",24000000,"1442,763598",2219000000,"0,00000007",14,97,Good
"0,000000013",36000000,"1303,09422",2372000000,"0,000000026",246,17,Good
"0,000000002",36000000,"1096,192739",1485000000,"0,00000002",183,92,Good
"0,000000012",23000000,"1359,432213",1144000000,"0,000000081",204,87,Good
"0,000000006",28000000,"1133,364746",1815000000,"0,000000094",187,88,Good
"0,000000002",39000000,"1142,55467",1752000000,"0,000000006",168,74,Good
"0,000000007",36000000,"1204,296872",2210000000,"0,000000083",143,19,Good
"0,000000012",39000000,"1151,244642",1832000000,"0,000000085",231,47,Good
"0,000000006",27000000,"1192,547369",1487000000,"0,000000061",11,59,Good
"0,000000017",36000000,"1115,5919",1914000000,"0,000000069",2,66,Good
"0,00000002",32000000,"1296,943899",1730000000,"0,00000003",68,77,Good
"0,000000001",40000000,"1141,855448",2463000000,"0,000000058",244,29,Good
"0,000000018",40000000,"1171,467535",2092000000,"0,000000013",249,96,Good
"0,00000001",32000000,"1014,202741",1401000000,"0,000000081",137,7,Good
"0,000000003",33000000,"1188,07481",1179000000,"0,000000094",218,76,Good
"0,00000001",34000000,"1048,053256",1385000000,"0,000000025",188,64,Good
"0,000000006",28000000,"1022,114355",2000000000,"0,000000032",171,65,Good
"0,000000012",27000000,"1329,880669",1600000000,"0,000000055",278,46,Good
"0,000000016",32000000,"1196,901508",2103000000,"0,000000049",239,97,Good
"0,000000017",40000000,"1034,988833",1741000000,"0,00000007",38,33,Good
"0,000000019",40000000,"1225,160741",2040000000,"0,000000025",210,81,Good
"0,000000011",33000000,"1069,710085",1739000000,"0,000000015",-3,97,Good
"0,000000016",30000000,"1382,950843",1571000000,"0,00000005",139,30,Good
"0,000000014",32000000,"1202,231582",1627000000,"0,000000007",92,41,Good
"0,000000012",34000000,"1474,184482",1984000000,"0,000000036",41,13,Good
"0,000000014",30000000,"1299,199139",1494000000,"0,000000025",265,93,Good
"0,00000002",30000000,"1039,085606",1967000000,"0,000000001",142,44,Good
"0,00000002",25000000,"1078,554462",2074000000,"0,000000022",218,97,Good
"0,000000004",22000000,"1121,352863",1272000000,"0,000000062",153,79,Good
"0,000000005",29000000,"1485,718641",1107000000,"0,000000028",49,98,Good
"0,000000008",40000000,"1300,183874",1024000000,"0,000000004",85,56,Good
"0,000000019",27000000,"1346,043805",1496000000,"0,000000066",190,89,Good
"0,000000011",32000000,"1273,746471",2308000000,"0,000000077",215,13,Good
"0,000000015",38000000,"1295,028431",2025000000,"0,00000007",10,61,Good
"0,00000002",21000000,"1229,552378",1277000000,"0,000000066",299,24,Good
"0,000000019",21000000,"1225,556008",2236000000,"0,000000052",133,1,Good
"0,000000015",33000000,"1379,204447",1096000000,"0,00000008",24,27,Good
"0,000000004",27000000,"1462,610388",1282000000,"0,000000005",45,12,Good
"0,000000011",40000000,"1265,169365",1768000000,"0,000000018",97,79,Good
"0,000000013",30000000,"1307,593968",1217000000,"0,000000074",242,21,Good
"0,000000004",40000000,"1355,905647",1756000000,"0,000000037",278,45,Good
"0,000000018",22000000,"1221,390807",1813000000,"0,00000005",255,99,Good
"0,000000001",26000000,"1443,496681",1025000000,"0,000000077",2,76,Good
"0,000000009",36000000,"1105,352124",2089000000,"0,000000092",68,6,Good
"0,000000017",23000000,"1300,857431",1434000000,"0,000000004",193,3,Good
"0,000000013",35000000,"1017,922956",2433000000,"0,000000021",42,28,Good
"0,000000011",40000000,"1369,870576",1604000000,"0,000000045",287,52,Good
"0,000000008",35000000,"1239,979128",1909000000,"0,000000055",160,16,Good
"0,00000001",20000000,"1059,045358",1048000000,"0,000000056",38,7,Good
"0,000000004",37000000,"1390,214159",1545000000,"0,00000003",277,53,Good
"0,000000005",27000000,"1471,375191",2249000000,"0,000000011",276,38,Good
"0,000000019",30000000,"1442,033895",1664000000,"0,000000099",181,37,Good
"0,000000012",38000000,"1447,204581",1333000000,"0,000000095",274,38,Good
"0,000000017",40000000,"1412,119819",1513000000,"0,00000003",66,45,Good
"0,00000002",26000000,"1150,622028",1600000000,"0,000000024",203,6,Good
"0,000000001",31000000,"1467,660539",1946000000,"0,000000077",259,80,Good
"0,000000012",40000000,"1204,005367",1661000000,"0,000000057",80,92,Good
"0,000000008",29000000,"1031,590114",1296000000,"0,000000012",-7,29,Good
"0,000000013",32000000,"1057,003581",1743000000,"0,000000056",59,72,Good
"0,000000016",40000000,"1083,184317",1653000000,"0,000000062",107,13,Good
"0,000000013",33000000,"1281,90248",1307000000,"0,00000005",30,76,Good
"0,000000004",20000000,"1443,043501",1202000000,"0,000000002",178,35,Good
"0,000000013",20000000,"1305,758523",1826000000,"0,000000088",255,32,Good
"0,000000007",22000000,"1467,630982",2493000000,"0,000000056",130,30,Good
"0,000000003",38000000,"1404,980121",2332000000,"0,000000061",199,60,Good
"0,000000006",25000000,"1337,754257",1569000000,"0,000000093",216,76,Good
"0,000000018",28000000,"1104,580568",2484000000,"0,000000005",54,49,Good
"0,000000008",24000000,"1219,097924",1433000000,"0,00000008",136,59,Good
"0,000000017",24000000,"1391,830951",1601000000,"0,00000007",69,35,Good
"0,000000008",23000000,"1470,379714",2330000000,"0,00000005",182,24,Good
"0,00000001",27000000,"1392,522603",1800000000,"0,000000039",125,83,Good
"0,000000007",32000000,"1127,9563",2015000000,"0,000000066",184,25,Good
"0,000000013",33000000,"1082,84018",1067000000,"0,000000099",-6,5,Good
"0,000000017",33000000,"1464,6162",2189000000,"0,000000062",-1,75,Good
"0,000000007",23000000,"1256,592125",1630000000,"0,000000098",192,79,Good
"0,000000016",28000000,"1497,538864",1619000000,"0,000000076",275,44,Good
"0,000000011",27000000,"1317,20219",1341000000,"0,000000055",72,6,Good
"0,000000013",31000000,"1156,460541",1128000000,"0,00000007",116,67,Good
"0,000000018",36000000,"1067,703778",1742000000,"0,000000039",23,22,Good
"0,000000002",28000000,"1051,269437",1954000000,"0,000000049",56,90,Good
"0,000000015",26000000,"1276,5798",1795000000,"0,000000024",38,31,Good
"0,000000017",27000000,"1039,668004",1093000000,"0,000000008",44,45,Good
"0,000000003",28000000,"1469,549003",1874000000,"0,00000001",32,20,Good
"0,000000006",25000000,"1364,115325",1989000000,"0,000000084",124,89,Good
"0,000000018",31000000,"1149,522673",2451000000,"0,000000094",192,95,Good
"0,000000008",39000000,"1034,734976",1025000000,"0,000000087",285,63,Good
"0,000000006",23000000,"1061,462604",1053000000,"0,000000016",173,26,Good
"0,000000004",22000000,"1295,794906",1103000000,"0,000000056",246,18,Good
"0,00000002",40000000,"1473,593958",1202000000,"0,000000095",261,85,Good
"0,000000012",23000000,"1350,098789",1396000000,"0,000000026",68,99,Good
"0,000000019",25000000,"1339,510539",2263000000,"0,000000074",-4,13,Good
"0,000000014",39000000,"1083,348621",1043000000,"0,00000004",91,61,Good
"0,000000019",39000000,"1180,610961",1519000000,"0,000000076",116,88,Good
"0,000000009",38000000,"1142,234712",1049000000,"0,000000091",273,41,Good
"0,000000002",25000000,"1198,792558",1358000000,"0,000000088",186,46,Good
"0,00000001",35000000,"1071,481907",1623000000,"0,000000081",85,52,Good
"0,000000001",37000000,"1304,48771",2176000000,"0,00000006",43,15,Good
"0,000000009",33000000,"1009,943812",1001000000,"0,000000015",202,4,Good
"0,000000001",20000000,"1054,348064",1505000000,"0,000000071",184,20,Good
"0,00000002",30000000,"1020,514932",2308000000,"0,000000046",165,55,Good
"0,000000011",21000000,"1010,874523",1253000000,"0,000000035",11,98,Good
"0,000000012",30000000,"1077,363513",1320000000,"0,000000094",203,1,Good
"0,00000002",32000000,"1408,073114",2290000000,"0,000000052",94,71,Good
"0,000000004",20000000,"1033,824267",1997000000,"0,000000052",139,81,Good
"0,000000016",32000000,"1073,121288",1628000000,"0,000000087",231,42,Good
"0,000000011",37000000,"1030,096047",2427000000,"0,000000026",65,48,Good
"0,00000001",25000000,"1474,700813",2131000000,"0,000000033",106,61,Good
"0,000000004",24000000,"1389,337876",1359000000,"0,000000089",52,8,Good
"0,000000019",21000000,"1150,048788",1473000000,"0,000000001",182,21,Good
"0,000000019",27000000,"1469,338111",1949000000,"0,000000045",98,95,Good
"0,00000002",31000000,"1281,166979",1093000000,"0,000000092",182,46,Good
"0,00000001",38000000,"1442,945184",2104000000,"0,000000087",107,85,Good
"0,000000001",32000000,"1217,59383",1369000000,"0,0000001",217,77,Good
"0,000000006",34000000,"1340,00854",1334000000,"0,000000098",131,94,Good
"0,000000017",36000000,"1470,577724",1273000000,"0,000000027",270,81,Good
"0,000000016",29000000,"1295,610064",1456000000,"0,000000049",166,9,Good
"0,000000003",23000000,"1268,601401",1997000000,"0,000000028",95,20,Good
"0,000000011",31000000,"1470,608916",2060000000,"0,000000093",158,77,Good
"0,000000006",25000000,"1374,514593",1492000000,"0,000000002",300,54,Good
"0,000000008",33000000,"1080,525124",2462000000,"0,00000006",154,39,Good
"0,000000015",38000000,"1422,868961",1071000000,"0,000000026",88,11,Good
"0,000000017",31000000,"1434,915433",1188000000,"0,000000082",138,92,Good
"0,000000007",27000000,"1265,558039",2197000000,"0,000000045",100,97,Good
"0,000000012",28000000,"1031,821722",1002000000,"0,000000022",260,3,Good
"0,00000001",39000000,"1383,004891",2154000000,"0,000000009",268,100,Good
"0,00000002",35000000,"1008,588511",1519000000,"0,00000007",129,78,Good
"0,000000012",27000000,"1065,679095",1628000000,"0,000000035",14,42,Good
"0,000000016",24000000,"1442,150687",1067000000,"0,000000096",25,41,Good
"0,000000004",28000000,"1230,745401",1725000000,"0,000000067",214,67,Good
"0,000000019",24000000,"1447,400021",1295000000,"0,000000051",250,74,Good
"0,000000007",20000000,"1165,543862",1575000000,"0,000000095",126,93,Good
"0,00000001",39000000,"1202,874512",1464000000,"0,000000026",31,97,Good
"0,000000002",36000000,"1383,080966",1511000000,"0,000000016",80,45,Good
"0,000000019",29000000,"1158,016224",2326000000,"0,000000041",113,55,Good
"0,000000002",25000000,"1404,794876",1778000000,"0,000000009",89,64,Good
"0,000000011",30000000,"1347,662886",2136000000,"0,000000016",295,31,Good
"0,000000018",20000000,"1117,875612",1879000000,"0,000000036",46,88,Good
"0,000000002",36000000,"1067,137794",1881000000,"0,000000046",160,46,Good
"0,000000015",33000000,"1174,017977",2411000000,"0,000000065",273,75,Good
"0,000000004",29000000,"1387,95867",2231000000,"0,00000009",186,14,Good
"0,000000019",35000000,"1434,619306",2300000000,"0,000000009",112,42,Good
"0,000000014",33000000,"1120,286699",1004000000,"0,000000051",227,42,Good
"0,00000002",32000000,"1025,372833",2406000000,"0,00000004",-2,75,Good
"0,00000001",38000000,"1237,082768",1922000000,"0,000000095",248,22,Good
"0,000000017",34000000,"1137,535652",2339000000,"0,000000041",138,92,Good
"0,000000014",20000000,"1357,642669",1220000000,"0,000000097",159,61,Good
"0,000000018",29000000,"1120,759788",2336000000,"0,000000022",167,2,Good
"0,00000002",23000000,"1168,671664",1776000000,"0,000000032",52,56,Good
"0,000000018",26000000,"1415,474318",2377000000,"0,000000003",59,9,Good
"0,000000004",31000000,"1421,070809",1205000000,"0,000000052",41,88,Good
"0,000000014",40000000,"1303,915327",1004000000,"0,000000091",186,88,Good
"0,000000005",32000000,"1044,692522",1166000000,"0,000000093",20,47,Good
"0,000000007",26000000,"1345,849478",2330000000,"0,000000092",0,37,Good
"0,000000003",26000000,"1143,844535",2232000000,"0,000000022",133,28,Good
"0,000000006",26000000,"1055,972696",1941000000,"0,000000064",292,44,Good
"0,000000016",36000000,"1478,456308",2381000000,"0,000000067",33,75,Good
"0,000000003",36000000,"1168,342676",2465000000,"0,000000006",59,86,Good
"0,000000006",35000000,"1062,556885",1090000000,"0,000000001",47,72,Good
"0,000000018",33000000,"1082,794245",1030000000,"0,000000046",213,82,Good
"0,00000001",33000000,"1168,850256",1109000000,"0,000000093",89,3,Good
"0,000000014",31000000,"1358,170576",2081000000,"0,000000067",-1,63,Good
"0,000000007",25000000,"1269,326184",1276000000,"0,00000001",36,10,Good
"0,000000002",37000000,"1286,775999",1625000000,"0,000000022",103,54,Good
"0,000000008",40000000,"1353,436742",1004000000,"0,000000027",162,61,Good
"0,000000009",38000000,"1478,424916",2252000000,"0,000000045",32,73,Good
"0,000000015",21000000,"1491,640397",1979000000,"0,000000051",12,31,Good
"0,000000002",31000000,"1395,845021",1644000000,"0,000000042",92,28,Good
"0,000000018",31000000,"1180,116568",1859000000,"0,000000033",-1,43,Good
"0,000000017",30000000,"1006,324301",1566000000,"0,000000069",64,4,Good
"0,000000009",21000000,"1147,04787",1346000000,"0,000000009",142,88,Good
"0,000000004",23000000,"1058,014335",2358000000,"0,000000093",186,34,Good
"0,000000001",25000000,"1289,73011",1824000000,"0,000000056",103,88,Good
"0,000000002",35000000,"1309,174218",2340000000,"0,000000048",72,25,Good
"0,000000008",24000000,"1370,390331",1070000000,"0,000000088",35,16,Good
"0,000000008",27000000,"1261,129832",1806000000,"0,000000037",151,62,Good
"0,000000014",30000000,"1035,270969",1296000000,"0,000000034",131,50,Good
"0,000000008",30000000,"1192,413892",2115000000,"0,000000052",146,94,Good
"0,00000002",30000000,"1152,387429",2134000000,"0,000000003",117,16,Good
"0,000000004",33000000,"1004,338007",2100000000,"0,000000061",54,39,Good
"0,000000009",33000000,"1037,312239",2274000000,"0,000000024",89,91,Good
"0,000000002",32000000,"1454,335482",2382000000,"0,000000059",62,25,Good
"0,000000002",36000000,"1260,120207",1965000000,"0,000000084",271,95,Good
"0,000000011",29000000,"1230,323186",1682000000,"0,000000084",59,27,Good
"0,000000016",33000000,"1189,79634",2082000000,"0,000000053",152,81,Good
"0,00000001",31000000,"1159,893323",1389000000,"0,000000003",9,4,Good
"0,000000019",29000000,"1032,324311",2394000000,"0,000000035",23,84,Good
"0,000000015",25000000,"1125,50702",1024000000,"0,000000009",70,62,Good
"0,000000008",27000000,"1285,515403",2364000000,"0,000000086",220,60,Good
"0,00000002",20000000,"1389,477725",1136000000,"0,000000098",147,10,Good
"0,000000006",21000000,"1455,392038",2057000000,"0,000000056",-9,51,Good
"0,000000016",28000000,"1009,172901",1176000000,"0,000000042",253,69,Good
"0,000000013",21000000,"1126,409504",1675000000,"0,000000011",6,89,Good
"0,000000008",25000000,"1027,610133",1160000000,"0,000000003",46,86,Good
"0,000000009",23000000,"1129,595439",2366000000,"0,000000014",279,65,Good
"0,000000005",36000000,"1161,872295",2034000000,"0,000000049",175,74,Good
"0,000000009",38000000,"1320,236311",1859000000,"0,000000048",256,62,Good
"0,000000018",32000000,"1231,223144",1540000000,"0,000000081",70,4,Good
"0,000000008",25000000,"1329,281218",1774000000,"0,000000063",197,46,Good
"0,000000008",27000000,"1088,489641",1780000000,"0,000000039",58,48,Good
"0,000000003",26000000,"1442,216149",2175000000,"0,00000008",5,38,Good
"0,000000002",25000000,"1057,521392",1171000000,"0,000000016",218,18,Good
"0,000000011",38000000,"1345,651183",1900000000,"0,000000016",132,23,Good
"0,000000011",39000000,"1371,986866",2457000000,"0,000000027",24,18,Good
"0,000000018",25000000,"1357,932397",1325000000,"0,000000049",274,40,Good
"0,000000003",34000000,"1337,375725",1768000000,"0,000000088",128,95,Good
"0,000000006",24000000,"1176,230557",1476000000,"0,000000086",30,50,Good
"0,000000014",36000000,"1450,118181",1810000000,"0,000000078",217,98,Good
"0,000000011",27000000,"1262,068026",2166000000,"0,000000028",139,79,Good
"0,00000002",24000000,"1251,785811",2239000000,"0,00000006",217,56,Good
"0,00000001",33000000,"1391,239479",2317000000,"0,000000053",178,90,Good
"0,000000002",39000000,"1339,300403",1685000000,"0,000000064",202,93,Good
"0,000000005",34000000,"1386,484538",2411000000,"0,000000055",143,61,Good
"0,000000003",31000000,"1206,152678",1638000000,"0,000000021",8,66,Good
"0,00000001",36000000,"1163,821543",1737000000,"0,000000062",57,48,Good
"0,000000014",39000000,"1037,343431",2473000000,"0,00000005",261,68,Good
"0,000000005",35000000,"1370,700762",2114000000,"0,000000056",-6,54,Good
"0,00000001",25000000,"1499,935283",1634000000,"0,000000068",283,63,Good
"0,000000004",39000000,"1498,446277",2387000000,"0,000000097",279,49,Good
"0,000000019",32000000,"1059,890135",1878000000,"0,000000048",271,63,Good
"0,00000002",33000000,"1468,004419",1589000000,"0,00000002",181,77,Good
"0,000000001",35000000,"1457,7218",1582000000,"0,000000098",300,45,Good
"0,000000014",32000000,"1129,790966",2099000000,"0,00000006",46,92,Good
"0,000000019",36000000,"1304,184476",2084000000,"0,000000078",131,98,Good
"0,000000004",28000000,"1081,230272",1240000000,"0,000000069",154,35,Good
"0,000000009",29000000,"1121,828776",1666000000,"0,000000061",15,54,Good
"0,000000004",38000000,"1393,020342",1704000000,"0,000000053",113,87,Good
"0,000000016",26000000,"1188,181156",1740000000,"0,00000009",-7,80,Good
"0,000000002",29000000,"1083,664558",1993000000,"0,000000071",197,55,Good
"0,000000003",37000000,"1306,247819",1773000000,"0,000000082",294,59,Good
"0,000000018",22000000,"1085,621004",1230000000,"0,000000047",89,52,Good
"0,000000013",31000000,"1283,029579",1123000000,"0,000000026",66,32,Good
"0,00000001",36000000,"1482,585917",1683000000,"0,000000075",122,38,Good
"0,00000002",22000000,"1277,092005",1735000000,"0,000000058",64,74,Good
"0,00000001",26000000,"1450,810696",1112000000,"0,000000032",74,98,Good
"0,000000003",32000000,"1442,60953",1748000000,"0,000000005",262,9,Good
"0,000000016",28000000,"1225,62917",2320000000,"0,000000016",44,78,Good
"0,000000003",21000000,"1055,650966",1902000000,"0,00000002",133,86,Good
"0,000000008",29000000,"1413,030952",1863000000,"0,000000059",15,66,Good
"0,000000017",27000000,"1235,065497",2209000000,"0,000000046",237,74,Good
"0,00000001",35000000,"1333,458629",1621000000,"0,000000007",-3,43,Good
"0,000000001",32000000,"1336,74563",1534000000,"0,000000012",138,21,Good
"0,000000016",34000000,"1087,14466",2185000000,"0,00000008",282,42,Good
"0,000000001",20000000,"1298,180984",2099000000,"0,000000086",300,96,Good
"0,000000011",30000000,"1066,163994",1681000000,"0,000000085",283,10,Good
"0,00000001",37000000,"1277,280766",2441000000,"0,000000074",149,52,Good
"0,000000019",40000000,"1364,69869",1675000000,"0,000000071",190,23,Good
"0,000000015",37000000,"1072,953948",1410000000,"0,000000032",197,16,Good
"0,000000009",26000000,"1495,341968",1401000000,"0,00000009",169,18,Good
"0,000000007",28000000,"1437,725404",1429000000,"0,000000057",251,51,Good
"0,000000017",32000000,"1052,974731",2166000000,"0,000000036",233,1,Good
"0,000000012",27000000,"1217,878585",1987000000,"0,000000078",234,12,Good
"0,000000004",28000000,"1159,003193",1132000000,"0,000000047",39,1,Good
"0,000000007",31000000,"1452,708254",1115000000,"0,000000039",-8,22,Good
